"local_site","DateTime","mmt_num","SM"
"MRS1",2018-05-11 15:00:00,1,0.0969
"MRS1",2018-05-11 15:00:00,2,0.163
"MRS1",2018-05-11 15:00:00,3,0.0562
"MRS1",2018-05-11 15:00:00,4,0.1535
"MRS1",2018-05-11 15:00:00,5,0.2436
"MRS1",2018-05-11 16:00:00,1,0.0969
"MRS1",2018-05-11 16:00:00,2,0.163
"MRS1",2018-05-11 16:00:00,3,0.0569
"MRS1",2018-05-11 16:00:00,4,0.1528
"MRS1",2018-05-11 16:00:00,5,0.2429
"MRS1",2018-05-11 17:00:00,1,0.0962
"MRS1",2018-05-11 17:00:00,2,0.1623
"MRS1",2018-05-11 17:00:00,3,0.0569
"MRS1",2018-05-11 17:00:00,4,0.1521
"MRS1",2018-05-11 17:00:00,5,0.2429
"MRS1",2018-05-11 18:00:00,1,0.0954
"MRS1",2018-05-11 18:00:00,2,0.1623
"MRS1",2018-05-11 18:00:00,3,0.0562
"MRS1",2018-05-11 18:00:00,4,0.1521
"MRS1",2018-05-11 18:00:00,5,0.2422
"MRS1",2018-05-11 19:00:00,1,0.0954
"MRS1",2018-05-11 19:00:00,2,0.1615
"MRS1",2018-05-11 19:00:00,3,0.0569
"MRS1",2018-05-11 19:00:00,4,0.1521
"MRS1",2018-05-11 19:00:00,5,0.2414
"MRS1",2018-05-11 20:00:00,1,0.0969
"MRS1",2018-05-11 20:00:00,2,0.1615
"MRS1",2018-05-11 20:00:00,3,0.0577
"MRS1",2018-05-11 20:00:00,4,0.1521
"MRS1",2018-05-11 20:00:00,5,0.2407
"MRS1",2018-05-11 21:00:00,1,0.0954
"MRS1",2018-05-11 21:00:00,2,0.1608
"MRS1",2018-05-11 21:00:00,3,0.0562
"MRS1",2018-05-11 21:00:00,4,0.1514
"MRS1",2018-05-11 21:00:00,5,0.2407
"MRS1",2018-05-11 22:00:00,1,0.0954
"MRS1",2018-05-11 22:00:00,2,0.1608
"MRS1",2018-05-11 22:00:00,3,0.0569
"MRS1",2018-05-11 22:00:00,4,0.1506
"MRS1",2018-05-11 22:00:00,5,0.24
